BaseL	AssignedL
3581.XYZ	3581.002
3586.XYZ	3586.002
3592.XYZ	3592.006
3615.XYZ	3615.002
3615.XYZ	3615.004
3624.XYZ	3624.002
3626.XYZ	3626.002
3627.XYZ	3627.002
3631.XYZ	3631.002
3639.XYZ	3639.002
3643.XYZ	3643.002
3643.XYZ	3643.004
Lbody:3643.XYZ	Lbody:3643.002
3655.XYZ	3655.004
3663.XYZ	3663.002
3687.XYZ	3687.002
3696.XYZ	3696.002
3698.XYZ	3698.002
3705.XYZ	3705.002
3749.XYZ	3749.006
3751.XYZ	3751.002
3755.XYZ	3755.002
3761.XYZ	3761.004
3775.XYZ	3775.002
3814.XYZ	3814.002
3821.XYZ	3821.002
3824.XYZ	3824.002
3829.XYZ	3829.002
3835.XYZ	3835.002
3840.XYZ	3840.002
3841.XYZ	3841.002
3857.XYZ	3857.002
3858.XYZ	3858.004
3864.XYZ	3864.002
3864.XYZ	3864.004
3865.XYZ	3865.002
3868.XYZ	3868.002
3869.XYZ	3869.004
3872.XYZ	3872.002
3874.XYZ	3874.002
3876.XYZ	3876.002
3877.XYZ	3877.002
3877.XYZ	3877.004
3880.XYZ	3880.002
3880.XYZ	3880.004
3880.XYZ	3880.006
3881.XYZ	3881.002
3893.XYZ	3893.002
3893.XYZ	3893.004
3893.XYZ	3893.006
3911.XYZ	3911.002
3912.XYZ	3912.004
3921.XYZ	3921.002
3928.XYZ	3928.002
3929.XYZ	3929.002
3934.XYZ	3934.002
3934.XYZ	3934.004
3934.XYZ	3934.006
Lbody:3934.XYZ	Lbody:3934.004
3947.XYZ	3947.002
3952.XYZ	3952.002
3955.XYZ	3955.002
3973.XYZ	3973.002
3974.XYZ	3974.002
3979.XYZ	3979.002
3983.XYZ	3983.002
4001.XYZ	4001.002
4013.XYZ	4013.002
4031.XYZ	4031.002
4033.XYZ	4033.002
4060.XYZ	4060.002
4062.XYZ	4062.002
4062.XYZ	4062.004
4067.XYZ	4067.002
4076.XYZ	4076.002
4090.XYZ	4090.002
4097.XYZ	4097.002
4099.XYZ	4099.002
4103.XYZ	4103.002
4103.XYZ	4103.004
4105.XYZ	4105.002
4112.XYZ	4112.002
4115.XYZ	4115.002
4115.XYZ	4115.004
4118.XYZ	4118.002
4119.XYZ	4119.004
4119.XYZ	4119.006
4120.XYZ	4120.002
4123.XYZ	4123.002
4123.XYZ	4123.004
4124.XYZ	4124.002
4124.XYZ	4124.004
Lbody:4124.XYZ	Lbody:4124.002
4135.XYZ	4135.002
4135.XYZ	4135.004
4138.XYZ	4138.002
4141.XYZ	4141.002
4144.XYZ	4144.002
4144.XYZ	4144.004
4144.XYZ	4144.006
4149.XYZ	4149.002
4154.XYZ	4154.002
4155.XYZ	4155.002
4155.XYZ	4155.004
4157.XYZ	4157.002
4157.XYZ	4157.004
4167.XYZ	4167.002
4171.XYZ	4171.002
4172.XYZ	4172.002
4172.XYZ	4172.004
4179.XYZ	4179.002
4179.XYZ	4179.004
Lbody:4179.XYZ	Lbody:4179.002
4180.XYZ	4180.002
4182.XYZ	4182.002
4182.XYZ	4182.004
4185.XYZ	4185.002
4190.XYZ	4190.002
4203.XYZ	4203.002
4205.XYZ	4205.002
4205.XYZ	4205.004
4207.XYZ	4207.002
4221.XYZ	4221.002
4222.XYZ	4222.002
4222.XYZ	4222.004
4224.XYZ	4224.004
4229.XYZ	4229.002
4229.XYZ	4229.004
4229.XYZ	4229.006
4236.XYZ	4236.002
4243.XYZ	4243.002
4250.XYZ	4250.002
4252.XYZ	4252.002
4252.XYZ	4252.004
4258.XYZ	4258.002
4258.XYZ	4258.004
4258.XYZ	4258.006
4265.XYZ	4265.002
4265.XYZ	4265.004
4265.XYZ	4265.006
Lbody:4265.XYZ	Lbody:4265.004
4276.XYZ	4276.002
4277.XYZ	4277.002
4279.XYZ	4279.002
4284.XYZ	4284.002
4289.XYZ	4289.002
4289.XYZ	4289.004
4289.XYZ	4289.006
4290.XYZ	4290.002
4294.XYZ	4294.002
4294.XYZ	4294.004
4295.XYZ	4295.002
4296.XYZ	4296.002
4298.XYZ	4298.002
4300.XYZ	4300.002
4302.XYZ	4302.002
4311.XYZ	4311.002
4313.XYZ	4313.002
4319.XYZ	4319.002
4324.XYZ	4324.004
4329.XYZ	4329.002
4329.XYZ	4329.004
4332.XYZ	4332.002
4337.XYZ	4337.002
4339.XYZ	4339.002
4343.XYZ	4343.002
4344.XYZ	4344.002
4349.XYZ	4349.004
4356.XYZ	4356.002
4357.XYZ	4357.002
4364.XYZ	4364.002
4370.XYZ	4370.002
4371.XYZ	4371.002
4371.XYZ	4371.004
4376.XYZ	4376.002
4385.XYZ	4385.002
4386.XYZ	4386.004
4386.XYZ	4386.006
4386.XYZ	4386.008
4388.XYZ	4388.002
4394.XYZ	4394.002
4395.XYZ	4395.002
4395.XYZ	4395.004
4414.XYZ	4414.002
4418.XYZ	4418.002
4423.XYZ	4423.002
4427.XYZ	4427.002
4429.XYZ	4429.002
4448.XYZ	4448.002
4448.XYZ	4448.004
Lbody:4448.XYZ	Lbody:4448.002
4449.XYZ	4449.002
4449.XYZ	4449.004
4452.XYZ	4452.002
4458.XYZ	4458.002
4458.XYZ	4458.004
4462.XYZ	4462.002
4465.XYZ	4465.002
4465.XYZ	4465.004
4465.XYZ	4465.006
4477.XYZ	4477.002
4478.XYZ	4478.002
4478.XYZ	4478.004
